大类代码	大类名称	中类代码	中类名称	小类代码	小类名称	细类代码	细类名称	说明
1000000	基本生活保障物资	1010000	粮食	1010100	面粉			
1000000	基本生活保障物资	1010000	粮食	1010200	大米			
1000000	基本生活保障物资	1010000	粮食	1010300	玉米			包括玉米粉
1000000	基本生活保障物资	1010000	粮食	1010400	大豆			
1000000	基本生活保障物资	1010000	粮食	1019900	其他粮食			
1000000	基本生活保障物资	1020000	蔬菜	1020100	新鲜蔬菜			
1000000	基本生活保障物资	1020000	蔬菜	1020200	冷冻蔬菜			
1000000	基本生活保障物资	1020000	蔬菜	1020300	腌渍菜			
1000000	基本生活保障物资	1020000	蔬菜	1020400	脱水蔬菜			
1000000	基本生活保障物资	1020000	蔬菜	1029900	其他蔬菜			
1000000	基本生活保障物资	1030000	水果	1030100	新鲜水果			
1000000	基本生活保障物资	1030000	水果	1030200	冷冻水果			
1000000	基本生活保障物资	1030000	水果	1030300	干制水果			
1000000	基本生活保障物资	1030000	水果	1039900	其他水果			
1000000	基本生活保障物资	1040000	坚果	1040100	花生			
1000000	基本生活保障物资	1040000	坚果	1049900	其他坚果			
1000000	基本生活保障物资	1050000	禽蛋	1050100	鸡蛋			
1000000	基本生活保障物资	1050000	禽蛋	1059900	其他禽蛋			
1000000	基本生活保障物资	1060000	食用盐	1060100	加碘盐			
1000000	基本生活保障物资	1060000	食用盐	1069900	其他食用盐			
1000000	基本生活保障物资	1070000	食用油	1070100	食用植物油			
1000000	基本生活保障物资	1070000	食用油	1070200	食用动物油脂			
1000000	基本生活保障物资	1070000	食用油	1079900	其他食用油			
1000000	基本生活保障物资	1080000	食糖	1080100	成品糖	1080101	白砂糖	
1000000	基本生活保障物资	1080000	食糖	1080100	成品糖	1080102	红糖	
1000000	基本生活保障物资	1080000	食糖	1080100	成品糖	1080199	其他成品糖	
1000000	基本生活保障物资	1080000	食糖	1080200	加工糖	1080201	冰糖	
1000000	基本生活保障物资	1080000	食糖	1080200	加工糖	1080202	方糖	
1000000	基本生活保障物资	1080000	食糖	1080200	加工糖	1080203	糖浆	
1000000	基本生活保障物资	1080000	食糖	1080200	加工糖	1080299	其他加工糖	
1000000	基本生活保障物资	1090000	肉类	1090100	家畜肉			"包括鲜肉及冷藏肉,含猪肉、牛羊肉等"
1000000	基本生活保障物资	1090000	肉类	1090200	家禽肉			包括鲜肉及冷藏肉
1000000	基本生活保障物资	1090000	肉类	1099900	其他肉类			
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100101	米 、面制半成品	包括大饼、面条、通心粉、年糕、米粉丝(干)等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100102	速冻食品	包括速冻饺子、速冻包子、速冻馄饨、速冻馒头等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100103	烘焙食品	面包、饼干等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100104	熟食	包括香肠制品、熏肉制品、酱卤烧烤肉制品、腌腊肉制品等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100105	即食食品	包括方便面、各类自热食品等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100106	压缩食品	包括压缩饼干等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100107	罐头	包括肉类罐头、蔬菜罐头、水果罐头、粥类罐头等
1000000	基本生活保障物资	1100000	加工食品	1100100	方便食品	1100199	其他方便食品	
1000000	基本生活保障物资	1100000	加工食品	1100200	乳制品	1100201	液体乳	
1000000	基本生活保障物资	1100000	加工食品	1100200	乳制品	1100202	固体及半固体乳制品	包括乳粉、炼乳、干酪等
1000000	基本生活保障物资	1100000	加工食品	1100200	乳制品	1100299	其他乳制品	
1000000	基本生活保障物资	1100000	加工食品	1100300	婴幼儿食品	1100301	婴幼儿配方奶粉	
1000000	基本生活保障物资	1100000	加工食品	1100300	婴幼儿食品	1100302	婴幼儿食品类罐头	
1000000	基本生活保障物资	1100000	加工食品	1100300	婴幼儿食品	1100303	婴幼儿谷物食品	
1000000	基本生活保障物资	1100000	加工食品	1100300	婴幼儿食品	1100399	其他婴幼儿食品	
1000000	基本生活保障物资	1100000	加工食品	1100400	饮料	1100401	饮用水	包括饮用天然水、纯净水及矿物质水等
1000000	基本生活保障物资	1100000	加工食品	1100400	饮料	1100402	电解质饮料	
1000000	基本生活保障物资	1100000	加工食品	1100400	饮料	1100499	其他饮料	
1000000	基本生活保障物资	1100000	加工食品	1100500	水产加工品	1100501	冷冻水产品	包括冷冻鱼、冻鱼肉等
1000000	基本生活保障物资	1100000	加工食品	1100500	水产加工品	1100502	干制水产品	包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等
1000000	基本生活保障物资	1100000	加工食品	1100500	水产加工品	1100599	其他水产加工品	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110101	棉衣裤	包括用于御寒的男、女、儿童大衣、带帽防寒短上衣、风衣等
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110102	帽子	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110103	手套	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110104	围巾	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110105	单衣裤	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110106	鞋袜	包括各类棉鞋、单鞋及袜子
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110107	婴儿服装	包括各类棉质、合成纤维质及毛制婴儿服装等
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110108	内衣裤	
1000000	基本生活保障物资	1110000	纺织产品	1110100	服装类	1110199	其他服装类	
1000000	基本生活保障物资	1110000	纺织产品	1110200	床上用织物制品	1110201	床褥单	
1000000	基本生活保障物资	1110000	纺织产品	1110200	床上用织物制品	1110202	毯子	包括各类棉质、毛制及麻制毯子
