GBTCode	GBTCategoryText	GPCCode	GPCCategoryText
1010300	基本生活保障物资；粮食；玉米；包括玉米粉；	10006147	食品、饮料；未处理或未加工的非叶菜类蔬菜（新鲜）；其他蔬菜；甜玉米；
1010300	基本生活保障物资；粮食；玉米；包括玉米粉；	10006337	食品、饮料；未处理或未加工的非叶菜类蔬菜（新鲜）；其他蔬菜；玉米（印度）；
1020200	基本生活保障物资；蔬菜；冷冻蔬菜；	10000291	食品、饮料；预制或腌制食品；蔬菜制品或餐食；非即食型蔬菜制品、餐食（冷冻）；
1020200	基本生活保障物资；蔬菜；冷冻蔬菜；	10000005	食品、饮料；未处理或未加工的蔬菜（冷冻）；未处理或未加工的蔬菜（冷冻）；未处理、未加工的蔬菜（冷冻）；
1020400	基本生活保障物资；蔬菜；脱水蔬菜；	10000272	食品、饮料；预制或加工的水果、蔬菜、坚果和种子；预制或加工蔬菜；预制或加工蔬菜（耐储存）；
1020400	基本生活保障物资；蔬菜；脱水蔬菜；	10000292	食品、饮料；预制或腌制食品；蔬菜制品或餐食；非即食型蔬菜制品、餐食（耐储存）；
1020400	基本生活保障物资；蔬菜；脱水蔬菜；	10000288	食品、饮料；预制或腌制食品；蔬菜制品或餐食；即食型蔬菜制品、餐食（耐储存）；
1020400	基本生活保障物资；蔬菜；脱水蔬菜；	10000006	食品、饮料；未处理或未加工的蔬菜（耐储存）；未处理或未加工的蔬菜（耐储存）；未处理、未加工的蔬菜（耐储存）；
1030100	基本生活保障物资；水果；新鲜水果；	10006172	食品、饮料；未处理或未加工的（新鲜）水果；未处理或未加工的（新鲜）水果组合装；未处理或未加工的（新鲜）水果组合装；
1030100	基本生活保障物资；水果；新鲜水果；	10005946	食品、饮料；未处理或未加工的（新鲜）水果；柿子；柿子或莎伦水果；
1030100	基本生活保障物资；水果；新鲜水果；	10000003	食品、饮料；未处理或未加工的耐储存水果；未处理或未加工的耐储存水果；未处理或未加工的水果（耐储存）；
1030100	基本生活保障物资；水果；新鲜水果；	10008188	食品、饮料；新鲜和鲜切水果或蔬菜；未处理或未加工的新鲜水果或蔬菜组合装；未处理或未加工的新鲜水果或蔬菜组合装；
1030100	基本生活保障物资；水果；新鲜水果；	10008189	食品、饮料；新鲜和鲜切水果或蔬菜；鲜切蔬菜或水果组合装；鲜切水果或蔬菜组合装；
1030100	基本生活保障物资；水果；新鲜水果；	10008194	食品、饮料；鲜切水果或蔬菜；鲜切水果；鲜切浆果、小果类水果；
1030100	基本生活保障物资；水果；新鲜水果；	10008190	食品、饮料；鲜切水果或蔬菜；鲜切水果；鲜切柑橘类水果；
1030100	基本生活保障物资；水果；新鲜水果；	10008203	食品、饮料；鲜切水果或蔬菜；鲜切水果；其他鲜切水果；
1030100	基本生活保障物资；水果；新鲜水果；	10008204	食品、饮料；鲜切水果或蔬菜；鲜切水果；鲜切混合水果组合装；
1030100	基本生活保障物资；水果；新鲜水果；	10008192	食品、饮料；鲜切水果或蔬菜；鲜切水果；鲜切梨果类水果；
1030100	基本生活保障物资；水果；新鲜水果；	10008193	食品、饮料；鲜切水果或蔬菜；鲜切水果；鲜切核果类水果；
1040100	基本生活保障物资；坚果；花生；	10007207	农作物；粮食作物；可食用花生生产作物；美国花生植物（美国土圞儿）；
1040100	基本生活保障物资；坚果；花生；	10007208	农作物；粮食作物；可食用花生生产作物；班巴拉花生植物（班巴拉花生）；
1040100	基本生活保障物资；坚果；花生；	10007209	农作物；粮食作物；可食用花生生产作物；豪萨花生植物（豪萨花生）；
1040100	基本生活保障物资；坚果；花生；	10007210	农作物；粮食作物；可食用花生生产作物；花生植物（花生）；
1040100	基本生活保障物资；坚果；花生；	10007554	农作物；粮食作物；食用豆类作物；花生豌豆植物（玫红山黧豆）；
